"","mean","sd","2.5%","97.5%","rhat","ess_bulk","modelLabel"
"p[1]",0.687248241,0.036378609694181,0.61536825,0.756685175,1.00205844323643,3942.46760857574,"massa target loc - Figure 4C"
"p[2]",0.8387738345,0.028878811397649,0.7777955,0.8889771,1.00336383683083,3838.34008122046,"massa target loc - Figure 4C"
"p[3]",0.911634769,0.0220907990982227,0.864117275,0.94951125,1.00119760877933,3301.85877045044,"massa target loc - Figure 4C"
"p[4]",0.674705869,0.0353975972646435,0.6050395,0.74282305,0.999602263909099,3270.95561779509,"massa target loc - Figure 4C"
"p[5]",0.899443775,0.0232647714863596,0.849566525,0.940291475,1.00291978604537,2883.43174897268,"massa target loc - Figure 4C"
"p[6]",0.86932765,0.0262801511426312,0.814702575,0.9169499,1.00052302865398,3907.03051577163,"massa target loc - Figure 4C"
"p[7]",0.8083152215,0.0299317420157512,0.745057875,0.86472585,0.999665420159306,4332.59677803019,"massa target loc - Figure 4C"
"p[8]",0.8692871695,0.0271942854403287,0.81013545,0.9178979,1.00318047204695,3268.94817161527,"massa target loc - Figure 4C"
"p[9]",0.5653620335,0.0382065994351182,0.48738205,0.63792995,1.00163155462581,5150.41229578585,"massa target loc - Figure 4C"
"p[10]",0.2371187445,0.032017662547424,0.176444725,0.30241345,1.00084264758852,3792.85781661684,"massa target loc - Figure 4C"
"p[11]",0.576541394,0.0378995562287995,0.49929805,0.64878665,1.00321450576158,2139.94893525008,"massa target loc - Figure 4C"
"p[12]",0.522475226,0.0392695215069093,0.445502975,0.596140625,1.00202863117483,3722.7200191755,"massa target loc - Figure 4C"
"p[13]",0.808402111,0.0292635989497092,0.748652725,0.860593325,1.00414750896225,3751.64631990445,"massa target loc - Figure 4C"
"p[14]",0.8388371995,0.0271323972285049,0.7844519,0.89046895,1.00147983846922,3532.05848151669,"massa target loc - Figure 4C"
"p[15]",0.8508327265,0.0259956200312111,0.796728925,0.897229675,1.00053119076418,4823.57010021427,"massa target loc - Figure 4C"
"p[16]",0.2812178535,0.0360473174673419,0.21264065,0.3564618,0.998909667236278,3315.52794780154,"massa target loc - Figure 4C"
"p[17]",0.710940046,0.0370351528041873,0.632851025,0.779155225,1.00295487911349,3152.9885424048,"massa target loc - Figure 4C"
"p[18]",0.291945648,0.0353822365563705,0.22487955,0.362803825,1.00784367230149,3809.12600057554,"massa target loc - Figure 4C"
"p[19]",0.730035866,0.0334325408220787,0.662892625,0.79221765,1.00721197310442,3240.43295929902,"massa target loc - Figure 4C"
"p[20]",0.7351822705,0.0342796859884548,0.667164975,0.800104525,1.00231920525121,3950.08952241099,"massa target loc - Figure 4C"
"p[21]",0.274111064,0.0329389974544089,0.213805775,0.3387057,0.999577419007629,4418.86148479379,"massa target loc - Figure 4C"
"p[22]",0.390496952,0.0374186845366847,0.317844275,0.46494495,1.00065403523024,3265.1668455782,"massa target loc - Figure 4C"
"p[23]",0.6686034205,0.0353793805775724,0.5974355,0.735219925,0.999758695249241,3159.32873510809,"massa target loc - Figure 4C"
"p[24]",0.8205418815,0.0306360018504397,0.7569733,0.874798175,1.00174793093462,3148.57485114292,"massa target loc - Figure 4C"
"p[25]",0.9420320605,0.0177621616954099,0.9025617,0.97246215,1.00041099770901,2919.56554220747,"massa target loc - Figure 4C"
"p[26]",0.5777393685,0.0378472556930018,0.503478625,0.65254105,1.00169309914704,3232.58827197464,"massa target loc - Figure 4C"
"p[27]",0.6739031165,0.0377453902345692,0.59881225,0.746519275,1.00167498227345,3447.33775695922,"massa target loc - Figure 4C"
"p[28]",0.4626417485,0.0375167559436383,0.39103545,0.53666775,1.0017070951553,3312.59747390181,"massa target loc - Figure 4C"
"p[29]",0.730019753,0.0348374472683501,0.659827175,0.795297625,0.999040829603177,3231.8460702581,"massa target loc - Figure 4C"
"p[30]",0.831912118,0.0285830870740446,0.771905525,0.884872475,1.00277309873876,3974.39978562182,"massa target loc - Figure 4C"
"p[31]",0.7344349,0.0328878456931914,0.667357375,0.796719225,1.00055494818951,2873.95831402786,"massa target loc - Figure 4C"
"p[32]",0.8633729445,0.0271870496832345,0.8056358,0.9125075,1.00300437617668,4797.05975733673,"massa target loc - Figure 4C"
"p[33]",0.759080826,0.0337283287389768,0.691563475,0.819535925,1.00290463806958,3542.36437172181,"massa target loc - Figure 4C"
"p[34]",0.3888031445,0.0388557636042873,0.311935125,0.463946,1.00164187905515,3315.00317491107,"massa target loc - Figure 4C"
"p[35]",0.4431491665,0.0385681422931381,0.3681727,0.5201358,1.00272935624234,3060.53105386939,"massa target loc - Figure 4C"
"p[36]",0.553840422,0.0389123000500807,0.47651945,0.627024425,1.00265262198609,3329.57054366894,"massa target loc - Figure 4C"
"p[37]",0.3408769425,0.0378017426519593,0.26735155,0.417260175,1.00503527661062,3373.19511833139,"massa target loc - Figure 4C"
"p[38]",0.869031792,0.0258043619649071,0.815035875,0.916194425,1.00324352265799,2540.83912666414,"massa target loc - Figure 4C"
